Name;Vintage;Volume;Lot Size;Seal Codes;Critic Ratings
Rubicon;2006;750ml;3;5291 - 0041475;"<p><em>&lsquo;Longstanding benchmark Bordeaux-style red, eschews showiness for restraint. 2006 cassis and cherry notes; concentrated, not plush, powdery tannins, tealeaf whiffs. Oak (70% new) evident; less supple than 2005. From Cabernet Sauvignon, with 16% Cabernet Franc, and 10% Merlot.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2011, 4.5*</p>"
Rubicon;2006;750ml;3;5291 - 0041473;"<p><em>&lsquo;Longstanding benchmark Bordeaux-style red, eschews showiness for restraint. 2006 cassis and cherry notes; concentrated, not plush, powdery tannins, tealeaf whiffs. Oak (70% new) evident; less supple than 2005. From Cabernet Sauvignon, with 16% Cabernet Franc, and 10% Merlot.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2011, 4.5*</p>"
Rubicon;2007;750ml;3;5641 - 454981;
Rubicon;2007;750ml;3;5641 - 454980;
Rubicon;2007;750ml;3;5641 - 454979;"<p><i>&lsquo;Approaching its 30th birthday, Cabernet-based blend with Merlot, Cabernet Franc still a Cape benchmark. Splendid 2007 (5 stars) reflects work in the vineyard, with remarkably intense fruit core, currently masked by firm, integrated tannin which should preserve charms to 2025. Like 2006, restrained not showy</i>.&rsquo; - Platter&rsquo;s SA Wine Guide 2012, 5*</p>"
Rubicon;2008;750ml;6;5683 - 754277;
Rubicon;2008;750ml;6;5683 - 754289;
Rubicon;2008;750ml;6;5683 - 754279;
Rubicon;2008;750ml;6;5683 - 754276;
Rubicon;2008;750ml;6;5683 - 754275;
Rubicon;2008;750ml;6;5683 - 754274;
Rubicon;2009;750ml;6;6061 - 579272;
Rubicon;2009;750ml;6;6061 - 579651;
Rubicon;2009;750ml;6;6061 - 579277;
Rubicon;2009;750ml;6;6061 - 579597;
Rubicon;2009;750ml;6;6061 - 578756;
Rubicon;2009;750ml;6;6061 - 578847;"<p><em>'As expected, the highlight of the tasting. Pure and beguiling nose, with Bordeaux-like graphite and forest floor notes. Dense, rich, and structured with powerful yet lacy tannins. Fine balance with a serious demeanour. Drink 2025 to 2040.'- </em>Roland Peens (Feb 2021), 95/100</p>
<p><em>'Expressive of the vintage, the 2009 shows more intensity and concentration of dark fruit, still very tightly packed. Hint of sweet mocha. Unwavering structure, although there is a sweetness and opulence to the fruit that allows drinkability. A long haul vintage.'</em> - Higgo Jacobs (Feb 2021), 95/100</p>
<p>&lsquo;<i>Distinctive, with singed iron and lilac hints, followed by a mix of boysenberry, blackberry and black currant fruit flavors. Dried star anise, cinnamon and black tea notes fill the finish, with iron-coated grip underneath. Tastes like a meeting of Cabernet and Nebbiolo. Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot. Drink now through 2020. 1,500 cases imported.</i>&rsquo; &ndash; 91/100 Wine Spectator (2015)</p>
<p>&lsquo;<i>Lively pencil lead, cocoa, oil and tar aromas &ndash; real sophistication with a flash of green character on the palate and pert tannins. Supreme length.&rsquo;</i> <i>&ndash; </i>Richard Hemming MW 17.5+/20, JancisRobinson.com ( 2018)</p>
<p><em>Sensational 2009 (92 pts), indisputably great vintage of venerable cab-dominated (70%) Bordeaux blend. Indulgently plush, with dark fruit that easily absorbs &amp; integrates the oak influence (65% new barrels) to produce an impressively complex, densely structured &amp; promising masterpiece.</em> - Platter's SA Wine Guide 2014, 4.5*</p>"
Rubicon;2010;750ml;6;7330 - 845282;
Rubicon;2010;750ml;6;7330 - 845284;
Rubicon;2010;750ml;6;7330 - 845285;
Rubicon;2010;750ml;6;7330 - 845281;
Rubicon;2010;750ml;6;7330 - 845286;
Rubicon;2010;750ml;6;7330 - 845266;"<p><em>'Dark ripe, cola and ribena. Quite round, soft, juicy and attractive. Nice balance of savoury and primary fruit. Pretty long and impressive. Drink now to 2030'</em> - Roland Peens (Feb 2021), 92/100</p>
<p><em>'Superlative 2010 follows sensational 2009 (4.5 stars, 92 pts), maintains classicism of this flagship cab-dominated (65%) Bordeaux blend. Plush, the dark fruit absorbs &amp; integrates the oak influence (60% new, 21 months) within complex, dense structure. For the long haul.</em> '- Platter's SA Wine Guide 2016, 5*</p>
<p><em>'A good example of a modernised Cape classic, Rubicon is great to drink at five years and will mature well thereafter. Subtle oak, graphite, autumn leaves, cassis and fine-boned tannins: this wine is remarkably complex and a brilliant follow-up to the 2009. Drink: 2015-25</em> '- Tim Atkin MW, SA Special Report 2015, 94/100</p>"
Rubicon;2012;750ml;6;7594 - 512142;
Rubicon;2012;750ml;6;7594 - 512146;
Rubicon;2012;750ml;6;7594 - 512143;
Rubicon;2012;750ml;6;7594 - 512141;
Rubicon;2012;750ml;6;7594 - 512144;
Rubicon;2012;750ml;6;7594 - 512145;"<p><em>'Really elegant with lovely depth and fine aromatics. Some toasty oak evident as well as slight sweet sour, savoury notes. Firm tannin and acidity with long finish. Drink now to 2030' -</em> Roland Peens (Feb 2021), 92/100</p>
<p><em>'Incredible purity. Completely open-knit and generous, but also beautifully elegant and appetising. Cherries, pomegranate, flint and pot-pourri perfume overlayed on a sleek palate. This is one of the underrated Cape vintages of the post-2000 era, revealing ever more composure and elegance with age. For those with preference of the less ripe vintages.'</em>&nbsp;- Higgo Jacobs (Feb 2021), 95/100</p>
<p><em>&lsquo;Superlative&rsquo; &amp; &lsquo;sensational&rsquo; are common epithets for this flagship cab-dominated (&plusmn;60%) Bordeaux blend. Lithe 2013 &amp; sleek 2012 take up the baton of 2010 (5 stars, 98 pts) after 2011 not made. Plush, the dark fruit integrates the oak influence (65% new, 20 months) within complex, dense structure. For the long haul.'</em>- Platter's SA Wine Guide 2017, 4.5*</p>"
Rubicon;2013;750ml;6;7720 - 419649;
Rubicon;2013;750ml;6;7720 - 419652;
Rubicon;2013;750ml;6;7720 - 419651;
Rubicon;2013;750ml;6;7720 - 419648;
Rubicon;2013;750ml;6;7720 - 419650;
Rubicon;2013;750ml;6;7720 - 419653;"<p><em>&lsquo;&lsquo;Superlative&rsquo; and &lsquo;sensational&rsquo; are common epithets for this flagship Cabernet Sauvignon-dominated (&plusmn;60%) Bordeaux blend. Lithe 2013 &amp; sleek 2012 take up the baton of 2010 (5 stars, 98 pts) after 2011 not made. Plush, the dark fruit integrates the oak influence (65% new, 20 months) within complex, dense structure. For the long haul.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2017, 4.5*</p>
<p><em>&lsquo;Meerlust&rsquo;s top red is a Cabernet Sauvignon-based blend with Merlot, Cabernet Franc and Petit Verdot as the chorus. It&rsquo;s a frm, serious, almost austere red that&rsquo;s clearly built to age. I&rsquo;d like a little more fruit on the tannic bones, but this is well made in a traditional style.&rsquo;</em> - Tim Atkin SA Special Report 2016, 90/100</p>"
Rubicon;2014;750ml;6;7990 - 018540;
Rubicon;2014;750ml;6;7990 - 018542;
Rubicon;2014;750ml;6;7990 - 018543;
Rubicon;2014;750ml;6;7990 - 018539;
Rubicon;2014;750ml;6;7990 - 018544;
Rubicon;2014;750ml;6;7990 - 018541;"<p><em>&lsquo;Cabernet Sauvignon-based (67%) flagship blend with Merlot, Cabernet Franc and Petit Verdot. One of the most classic local expressions of the style. 2014 gentler than the Cabernet Sauvignon, with the sleek, darkly bright elegance of the Merlot, and its own firm tannic balance and succulent suppleness based on ripe fruit.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2018, 4.5*&nbsp;</p>"
Rubicon;2015;750ml;6;8370 - 616445;
Rubicon;2015;750ml;6;8370 - 616448;
Rubicon;2015;750ml;6;8370 - 616447;
Rubicon;2015;750ml;6;8370 - 616444;
Rubicon;2015;750ml;6;8370 - 616446;
Rubicon;2015;750ml;6;8370 - 616449;
Rubicon;2016;750ml;6;8620 - 676537;
Rubicon;2016;750ml;6;8620 - 676532;
Rubicon;2016;750ml;6;8620 - 676533;
Rubicon;2016;750ml;6;8620 - 676522;
Rubicon;2016;750ml;6;8620 - 676539;
Rubicon;2016;750ml;6;8620 - 676541;
Rubicon;2017;750ml;6;9019 - 171746;
Rubicon;2017;750ml;6;9019 - 171750;
Rubicon;2017;750ml;6;9019 - 171749;
Rubicon;2017;750ml;6;9019 - 171747;
Rubicon;2017;750ml;6;9019 - 171748;
Rubicon;2017;750ml;6;9019 - 171751;
Rubicon;2018;750ml;6;9256 - 380533;
Rubicon;2018;750ml;6;9256 - 380534;
Rubicon;2018;750ml;6;9256 - 380537;
Rubicon;2018;750ml;6;9256 - 380532;
Rubicon;2018;750ml;6;9256 - 380536;
Rubicon;2018;750ml;6;9256 - 380535;
Rubicon;2020;750ml;12;;2023
Rubicon;2021;750ml;12;;2024
Rubicon;2022;750ml;12;;2025
Rubicon;2023;750ml;12;;2026
Rubicon;2024;750ml;12;;2027
Rubicon;2025;750ml;12;;2028
Rubicon;2026;750ml;12;;2029
Rubicon;2027;750ml;12;;2030
Rubicon;2028;750ml;12;;2031
Rubicon;2029;750ml;12;;2032
Rubicon;2030;750ml;12;;2033
Rubicon;2031;750ml;12;;2034
Rubicon;2032;750ml;12;;2035
Rubicon;2033;750ml;12;;2036
Rubicon;2034;750ml;12;;2037
