,vintage,nr_tokens,name,volume_ml,lot_size,seal code,description,description_missing,multplier,full_description,src_image,dst_image
10,1996,1,Vin de Constance 1996,500,1,,"‘This has the color of dark iced tea, with a burnished edge to the maple, clove, date, green tea and mulled spice notes all laced with tangy acidity and a long, incense-infused finish. Clearly maturing in its flavor profile, but still with plenty of zip.--Non-blind Vin de Constance vertical ... 1,036 cases made.’ – Wine Spectator  92/100 (2010)
‘The 1996 Vin de Constance is has a lucid amber hue. The nose is very engaging: marmalade, seaweed, quince, frangipane and a touch of chlorine – more like a mature Barsac than mature Sauternes. The palate is medium-bodied with a restrained viscous entry of mandarin, orange rind and quince. It is nicely focused and precise, even if it does not quite possess the delineation of the 2007 and 2008 on the finish. Very fine.’ – Neal Martin, Wine Advocate 94/100 (Oct 2013)",0,,"‘This has the color of dark iced tea, with a burnished edge to the maple, clove, date, green tea and mulled spice notes all laced with tangy acidity and a long, incense-infused finish. Clearly maturing in its flavor profile, but still with plenty of zip.--Non-blind Vin de Constance vertical ... 1,036 cases made.’ – Wine Spectator  92/100 (2010)
‘The 1996 Vin de Constance is has a lucid amber hue. The nose is very engaging: marmalade, seaweed, quince, frangipane and a touch of chlorine – more like a mature Barsac than mature Sauternes. The palate is medium-bodied with a restrained viscous entry of mandarin, orange rind and quince. It is nicely focused and precise, even if it does not quite possess the delineation of the 2007 and 2008 on the finish. Very fine.’ – Neal Martin, Wine Advocate 94/100 (Oct 2013)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1996 1112 - 423695.jpg,farms/klein-constansia/vdc/output/assets/10.jpg
11,1997,1,Vin de Constance 1997,500,1,,"‘Candied orange peel, cherries, and spices are intermingled with hints of honey in its gorgeously defined aromatics. This wine, produced entirely from Muscat, is lively, elegant, packed with nuanced flavours, and sports a long, supple, expressive finish.’  Pierre Rovani, Wine Advocate, 93/100 (Feb 2003)",0,,"‘Candied orange peel, cherries, and spices are intermingled with hints of honey in its gorgeously defined aromatics. This wine, produced entirely from Muscat, is lively, elegant, packed with nuanced flavours, and sports a long, supple, expressive finish.’  Pierre Rovani, Wine Advocate, 93/100 (Feb 2003)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1997 3055 - 834156.jpg,farms/klein-constansia/vdc/output/assets/11.jpg
12,1998,1,Vin de Constance 1998,500,1,,"‘This dessert wine is loaded from the get-go, with mango, blood orange, smoke, persimmon, ginger, date and fig flavors, all on a burnished texture supported by well-imbedded acidity. Superlong finish. Gorgeous. Late harvest Muscat de Frontignan. 1,049 cases made.’ – Wine Spectator 93/100 (2003)
‘RS 160 g/l, pH 3.5, TA 9.5 g/l. Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices – tangy and freshly-peeled.’ – Richard Hemming MW, JancisRobinson.com 17.5/20 (2009)",0,,"‘This dessert wine is loaded from the get-go, with mango, blood orange, smoke, persimmon, ginger, date and fig flavors, all on a burnished texture supported by well-imbedded acidity. Superlong finish. Gorgeous. Late harvest Muscat de Frontignan. 1,049 cases made.’ – Wine Spectator 93/100 (2003)
‘RS 160 g/l, pH 3.5, TA 9.5 g/l. Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices – tangy and freshly-peeled.’ – Richard Hemming MW, JancisRobinson.com 17.5/20 (2009)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1998 3283 - 283529.jpg,farms/klein-constansia/vdc/output/assets/12.jpg
13,1999,1,Vin de Constance 1999,500,1,,"‘Confirming anew the international status its ancestor enjoyed 2 centuries back, and fortunately soon in greater quantities as new plantings of Muscat de Frontignan come into production. Frequent 5* over the years. Usually no botrytis, just healthy ripeness taken to a superb extreme, to give a silkily textured wine, with fine mineral acidity. Raisiny luxuriance of '99 also evokes dried apricot, marmalade, shot through with thrilling acid; fine lingering farewell. 14.5%; 183g/L sugar.’ – Platter’s SA Wine Guide 2005, 4.5*
Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices – tangy and freshly-peeled.’ – Richard Hemming MW, JancisRobinson.com  17.5/20 (2009)",0,,"‘Confirming anew the international status its ancestor enjoyed 2 centuries back, and fortunately soon in greater quantities as new plantings of Muscat de Frontignan come into production. Frequent 5* over the years. Usually no botrytis, just healthy ripeness taken to a superb extreme, to give a silkily textured wine, with fine mineral acidity. Raisiny luxuriance of '99 also evokes dried apricot, marmalade, shot through with thrilling acid; fine lingering farewell. 14.5%; 183g/L sugar.’ – Platter’s SA Wine Guide 2005, 4.5*
Vanilla pod, mixed peel, spiced oranges, cloves, raisins, thick and gloopy but with a whistlingly fresh finish from the acidity that keeps magnificent balance. The orange character is really pure on the palate, like tangerine slices – tangy and freshly-peeled.’ – Richard Hemming MW, JancisRobinson.com  17.5/20 (2009)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_1999 3596 - 686300.jpg,farms/klein-constansia/vdc/output/assets/13.jpg
14,2000,1,Vin de Constance 2000,500,3,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",0,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2000 3938 - 853534.jpg,farms/klein-constansia/vdc/output/assets/14.jpg
15,2000,1,Vin de Constance 2000,500,3,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",0,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2000 3938 - 853534.jpg,farms/klein-constansia/vdc/output/assets/15.jpg
16,2000,1,Vin de Constance 2000,500,3,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",0,,"‘Continually reclaiming the international renown its ancestor enjoyed 2 centuries back; from usually unbotrytised but superbly ripe Muscat de Frontignan giving a long-lived, silkily textured wine with fine mineral acidity. Riveting old-gold-coloured '00 somewhat drier (141g/L), full, gorgeously complex panoply of a aromas/flavours (from muscatty grape to citrus, dried peach to marmalade), refined silky richness, balanced acidity. There some 2 years in used 500L French oak barrels, after ferment/time in tank. In specially made 500ml hand-blown-style-bottles.’ – Platter’s SA Wine Guide 2006, 5*
‘Runny caramel on the nose, and a lovely amber hue in the glass. Roasted nuts, musk, very lengthy black-treacle finish and orange and quince fruit – the fruit is definitely past its first flush, though the wine is still very much alive.’ – Richard Hemming MW, JancisRobinson.com, 17/20 (2009)
 ",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2000 3938 - 853534.jpg,farms/klein-constansia/vdc/output/assets/16.jpg
17,2001,1,Vin de Constance 2001,500,3,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",0,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2001 4249 - 325514.jpg,farms/klein-constansia/vdc/output/assets/17.jpg
18,2001,1,Vin de Constance 2001,500,3,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",0,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2001 4249 - 325514.jpg,farms/klein-constansia/vdc/output/assets/18.jpg
19,2001,1,Vin de Constance 2001,500,3,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",0,,"‘Sweet and rich, but also superracy, with fresh-cut tangerine, orange and nectarine flavors, backed by bright acidity and a long, lingering finish of spice, orange zest and heather honey. Hard to resist now, but should age wonderfully. Muscat de Frontignan.’ - James Molesworth, Wine Spectator, 92/100 (2007)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2001 4249 - 325514.jpg,farms/klein-constansia/vdc/output/assets/19.jpg
20,2002,1,Vin de Constance 2002,500,3,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",0,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2002 4661 - 0673673.jpg,farms/klein-constansia/vdc/output/assets/20.jpg
21,2002,1,Vin de Constance 2002,500,3,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",0,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2002 4661 - 0673673.jpg,farms/klein-constansia/vdc/output/assets/21.jpg
22,2002,1,Vin de Constance 2002,500,3,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",0,,"‘Luscious unfortified dessert with international reputation spanning 2 centuries, typically from un-botrytised yet lusciously ripe Muscat de Frontignan. The 2002 is more slender than previous (13% alc vs 14.8%) but follows generous sun-blessed style, with tightrope balance. Marmalade, Asian spice hints, unctuous but uncloying.’ - Platter’s SA Wine Guide 2008, 4.5*
‘Marmalade, some green hints, menthol, pineapple cubes, a haunting floral bouquet. Nutty flavours emerging, with lavender, peach, honeycomb, lengthy and superbly even-handed mix of body, acidity and flavour.’ - Richard Hemming MW, JancisRobinson.com, 17.5/20 (Feb 2009)",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2002 4661 - 0673673.jpg,farms/klein-constansia/vdc/output/assets/22.jpg
23,2004,1,Vin de Constance 2004,500,3,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",0,,"Iconic dessert wine from unbotrytised Muscat de Frontignan, No 2003; '04 charming peach and spicy-nutty cream. Less intense than some years, but still luscious and dense. 130 g/l RS, 14.2% alc in full, rich finish.' - Platter's SA Wine Guide 2009, 4.5*",farms/klein-constansia/vdc/input/bottels/1s/Vin_de_Constance_2004 5000 - 0040582.jpg,farms/klein-constansia/vdc/output/assets/23.jpg
