Name;Vintage;Volume;Lot Size;Seal Code;Critic Ratings
Vin de Constance;2006;500ml;3;;"<p><i>&lsquo;This is gorgeous from the start, proffering sweet but precise tangerine, nectarine and clementine fruit flavors laced with date, orange blossom and green tea notes. Long and pure through the finish, with a lingering echo of bitter orange. The track record for this wine keeps getting better. Drink now through 2020.&rsquo;</i> - James Molesworth, Wine Spectator, 95/100 (2012)</p>
<p><i>'Previewed last year, 2006 iconic dessert wine from unbotrytised Muscat de Fontignan. 42 months oak (500L barrels, 20% new) melts into concentration of sweet mango, kumquat and glac&eacute; pineapple. Uncloyingly rich, courtesy tangy acidity. Stately successor to sleek and floral 2005 (4.5 stars).&rsquo;</i> - Platter&rsquo;s SA Wine Guide 2011, 5* </p>"
Vin de Constance;2007;500ml;3;;"Bottled decadence, 2007 is the latest iconic dessert wine from unbotrytised Muscat de Frontignan. New oak (65%) melts into unctuous glacé pineapple and barley sugar flavours. Rich and complex, but lacks the vibrant freshness of exceptional 2006 (5 stars).' - Platter's SA Wine Guide 2013, 4.5* <p>&lsquo;<i>It has an explosive bouquet that sprints out of the blocks with a more effervescent, vivacious personality than the 2008. Citrus lemon, Seville orange marmalade, touches of mandarin and a dash of spice all vie for attention &hellip; This is probably the finest Vin de Constance to date as it fans out marvellously on the multi-layered finish. This is a startling, world-class wine that gives Yquem a run for its money.</i>&rsquo; Neal Martin, Wine Advocate, 97/100 (2011)</p>"
Vin de Constance;2008;500ml;3;;"<p><i>'The first wine to be blended by the 'new' team in 2012, further time in bottle has added complexity on the palate. Intensely aromatic with a medium-burnished gold hue and nutty, clove and honeysuckle/jasmine notes on the nose. Acidity is more prominent here but cuts through the richness, with mellow oak and orange-marmalade zest on the finish. A highly impressive Vin de Constance with 150g/l RS which is in great shape for further maturation. Drinking Window 2020 - 2040.&rsquo;</i> - Decanter.com, 97/100 (2020)</p>
<p><i>&lsquo;Iconic dessert from unbotrytised Muscat de Frontignan. Rich and satisfying 2008 offers fragrant aromas of candied orange peel, faint scent of fynbos. Warm alcohol asserts on entry, then unctuous flavours of toffee apples and glazed pineapples. 54 months 60% new oak, French and Hungarian.&rsquo;</i> - Platter&rsquo;s SA Wine Guide 2015, 4.5* </p>"
Vin de Constance;2009;500ml;3;;"<p><i>&lsquo;Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea&mdash;filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030.&rsquo;</i> - James Molesworth, Winespectator.com, 95/100 (2015)</p>
<p><i>&lsquo;The 2009 Vin de Constance Natural Sweet Wine had been in bottle around six weeks when I tasted it at the estate. It was harvested over three months from 25 separate batches, each bunch selected by hand and raised for six months to one year in 500-liter barrels. Matthew told me that he is looking for less time in barrel and more time in bottle before release. Then again, the 2003 is still in barrel! This is the first vintage Matthew Day has been involved with from start to finish and he sees it as a cross between the 2007 and 2008. It has an intense marmalade, dried apricot, beeswax and honeycomb scents, your quintessential Vin de Constance nose, and it seems to muster more vigor with aeration. The palate is well-balanced with a spicy tincture on the entry, slightly oxidative, with nutty notes infusing the thickly layered honeyed fruit with touches of papaya and mango toward the finish with touches of rosewater and gripe water (a children's medicine for anyone without the privilege) on the aftertaste. Another superb Vin de Constance from Matthew Day.&rsquo;</i> - Neal Martin, Robertparker.com, 94/100 (2014)</p>"
Vin de Constance;2011;500ml;3;;"<p><i>&lsquo;Consistently one of the best sweet wines in the world, this tea-leafy, honeyed, orange peel-scented Muscat is rich and sweet, with 152 grams of sugar, some skin tannins, nutmeg and ginger spice and a weighty, dense texture. Long, complex and assured. Drink: 2015-25.&rsquo;</i> &ndash; Tim Atkin MW, SA Special Report 2015, 96/100</p>
<p><i>&lsquo;The nose is pretty and entirely captivating &ndash; citrus, lilac, herbs, spice, even a little mint. The palate, meanwhile, shows pure fruit and zippy acidity &ndash; it&rsquo;s an extraordinarily vivid glass of wine &ndash; the finish suitably long without being astringent. Really classy.&rsquo;</i>- Christian Eedes, Winemag.co.za, 96/100 (2015)</p>
<p><i>&lsquo;Iconic, ageworthy dessert from unbotrytised Muscat de Frontignan aged in French and Hungarian oak (some new). 2011 generous and satisfying with silky texture, sweetness lifted by racy acidity. 3 years oaked vs 4 for also-tasted 2009, with similar candied orange, fynbos fragrance, vanilla fudge and glazed pineapple flavours. No 2010. &rsquo;</i> - Platter&rsquo;s SA Wine Guide 2016, 5* </p>"
Vin de Constance;2012;500ml;3;;"<p><em>&lsquo;Iconic, oak-aged and age worthy dessert from unbotrytised Muscat de Frontignan. Drop-dead gorgeous 2012, exotic tropical fruit, marzipan and fynbos notes, silky sweetness. Racy acidity, energising freshness enhanced by tight-grained acacia oak joining the usual mix of new/used French/Hungarian oak.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2017, 5*</p>
<p><em>&lsquo;The 2012 Vin de Constance won&rsquo;t be released for another year, but put a note in your diary to buy some when it is. Sweeter and more alcoholic than the 2011, but somehow fresher and brighter, too, it&rsquo;s floral, pure and focused, with notes of orange zest, tarte tatin and well integrated oak. Shaping up to be the best Vin de Constance yet. Drink: 2016-25. Overall Sweet Wine of the Year.&rsquo;</em> - Tim Atkin SA Special Report 2015, 97/100</p>"
Vin de Constance;2013;1500ml;3;;‘A Cape classic, painstakingly crafted dessert wine from raisined Muscat de Frontignan, our Unfortified Dessert Wine of the Year. 2013 emerges triumphant from 3 years in various types and sizes of barrel, showing pedigree and class. Perfumed and exotically spicy, with silky texture, dried peach and melon fruit. Also in magnum.’ - Platter’s SA Wine Guide 2018, 5* (99/100) ‘The 2013 Vin de Constance Natural Sweet Wine was matured in 500-liter barrels for around 36 months. It has a beautiful bouquet with honey, quince, pressed yellow flowers and Mirabelle. It has wonderful definition and purity. The palate is very well balanced with a mellifluous texture and beautifully judged acidity as it just sashays along. It fans out on the finish with honey, quince, a touch of rhubarb and ginger, extraordinarily persistent in the mouth. Matthew Day, current winemaker, opined that he thought the 2012 would be the best ever, but the freshness might see it overtaken. This is awesome.’ - Neal Martin, Wine Advocate, 96/100 (Apr 2017)
Vin de Constance;2014;1500ml;3;;‘Arguably the Cape’s most famous wine, crafted to emulate the great Constantia sweet desserts of the 18th century. 2014 from raisined Muscat de Frontignan, as always, impossibly complex and detailed, with seductive perfume, opulent fruit and finely modulated acidity. Intricate vinification, 3 years 500L barrels of various wood types. 500 ml, magnums too.’ -  Platter’s SA Wine Guide 2019, 5* (95/100) ‘This is not the densest or most exotic of recent Vin de Constance releases, but what it lacks in power it more than makes up for with elegance. More Barsac than Sauternes-like perhaps? Quince, pastry and orange zest notes, with lovely tarte tatin acidity, subtle vanilla spice and a long, nuanced finish. 2019-35.’ - Tim Atkin MW, SA Special Report 2017, 96/100  
Vin de Constance;2015;1500ml;3;;‘Iconic reprise of legendary 18th-century Constantia sweet wine, eagerly awaited 2015 is spectacular. Muscat de Frontignan, harvested through the season as ripe berries (for acidity) and raisins (for sugar concentration), delivers fragrant aromatic spices, honeyed floral highlights and piercing freshness, all in perfect balance and harmony after 42 months in 500L barrels. 500 ml and magnum.’ -     Platter’s SA Wine Guide 2020, 5* (95/100) 
Vin de Constance;2016;1500ml;3;;‘Iconic reprise of legendary 18th-and 19-century Constantia sweet wine. Spectacular 2016 from Muscat de Frontignan, harvested as ripe berries (for acidity) and raisins (for sugar concentration), delivers fragrant aromatic spices, honeyed floral highlights and piercing freshness, all in perfect balance and harmony after 36 months in oak (500L barrels and foudres) and acacia. 500 ml and magnum.’ - Platter’s SA Wine Guide 2021, 5* (96/100) ‘Increasingly celebrated as one of the great sweet wines of the world, not just the Cape, Vin de Constance is a delight to taste and review. Slightly drier than the 205 release at 165 grams of sugar, it has more in common with the Loire or Tokaji than it does with Sauternes in terms of freshness and structure. Fresh, balanced and floral, with incredible delicacy, racy acidity, fine oak and flavours of pear tart, crystallised lemons and orange zest. 2019-35.’ - Tim Atkin MW, SA Special Report 2019 - Overall Sweet Wine of the Year, 98/100 ‘Sweet and fragrant on the nose. Layers of honey, acacia, sultana and earthy spices. The palate is sweet but not remotely cloying, with bright acidity and great intensity of fruit and marmalade. Harmonious and intense, with superb purity and vibrancy. Mellow raisined notes are lifted by floral orange blossom, cinnamon and sweet vanilla spice. Unerring and long on the finish, superb!’ - Tom Parker MW, JancisRobinson.com, 18.5/20 (Sept 2019)
Vin de Constance;2017;1500ml;3;;"‘Iconic recreation of legendary 18th-and 19-century Constantia sweet wine. From Muscat de Frontignan harvested as ripe berries (for acidity) and raisins (for sugar concentration), stellar 2017 delivers fragrant aromatic spices, honeyed floral highlights and piercing freshness, all in perfect balance and harmony after 36 months in oak (500L barrels and foudres) and acacia wood. 500 ml, also magnums.’ - Platter’s SA Wine Guide 2022, 5* (97/100)  ‘""Lighter and lighter"" is the motto at Klein Constantia these days, according to Matt Day. The latest, world-class release of Vin de Constance certainly doesn’t lack sweetness at 165 grams or even concentration, but it has a freshness that's reminiscent of Vouvray or Barsac. Subtly wooded in 50% new barrels, it unfurls layers of citrus, toast and tarte tatin, with a drizzle of honey and vivid acidity and palate length. Bravo! 2022-35.’ - Tim Atkin MW, SA Special Report 2020 - Overall Sweet Wine of the Year, 98/100 ‘Lustrous mid gold. Dried apricot, orange blossom and citrus peels on the nose, suffused with nutmeg, clove and coffee cream, and an earthy, spicy, saffron-like note. Richly sweet and unctuously textured, but with a streak of acidity that balances beautifully, and gives a preserved grapefruit and lemon flavour. Fantastic length.’ - Tim Jackson MW, JancisRobinson.com, 18/20 (Nov 2021)"
Vin de Constance;2018;1500ml;3;;‘Made from raisined Muscat de Frontignan grapes - only the 1997 and 2011 releases had a little botrytis - this is the latest in a run of world-class releases of Vin de Constance. Showing remarkable purity and elegance, despite the heat of 2018, it has 60% new wood, 172 grams of sugar, fine balance, racy acidity and flavours of patisserie, tangerine and pear. The essence of Muscat. 2023-35.’ - Tim Atkin MW, SA Special Report 2021 - Overall Sweet Wine of the Year, 97/100  ‘Another brilliant nose from Vin de Constance. Very floral, with notes of fresh grapes, sultanas and honey. The palate is fleshy and complex with spice. Ginger, lemongrass and yuzu come through with further notes of honey and sultana. Despite the sweetness, there is a lightness of touch. Vibrant, powerful fruit and earthy ginger and saffron linger on a very long finish.’ - Tom Parker MW, JancisRobinson.com, 18/20 (Sept 2021)     
Vin de Constance;2019;1500ml;3;;2022
Vin de Constance;2020;1500ml;3;;2023
Vin de Constance;2021;1500ml;3;;2024
Vin de Constance;2022;1500ml;3;;2025
Vin de Constance;2023;1500ml;3;;2026
Vin de Constance;2024;1500ml;3;;2027
Vin de Constance;2025;1500ml;3;;2028
Vin de Constance;2026;1500ml;3;;2029
Vin de Constance;2027;1500ml;3;;2030
