Name;Vintage;Volume;Lot Size;Seal Codes;Critic Ratings
Series C;2013;750ml;6;; 
Series C;2014;750ml;6;;"‘Sumptuous quartet of Bordeaux varieties led by Cabernet Sauvignon (65%), 2014 gets more new oak (70%, 22 months) than sibling yet retains fruit purity and poise; shows superb tannic grip, perfumed cedarwood persistence which will see it through the next decade or more. 1.5 & 3L bottled for future release.’ - Platter’s SA Wine Guide 2018, 4.5* (92/100)  ‘Cabernet rules the blend here - hence C - with support from Merlot, Malbec and a splash of Cabernet Franc. This is a dense, serious, stylish, age worthy cuvée that deserves its cult following. Structured, spicy and winningly oaked, with a core of refreshing black fruit. 2019-26.’ - Tim Atkin MW, SA Special Report 2017, 96/100  ‘The 2014 Series C is a blend of 65% Cabernet Sauvignon, 19% Merlot, 10% Malbec and 6% Cabernet Franc, matured in 70% new French oak for 22 months. Deep in color, in my opinion it has a superior bouquet compared to the Series M this vintage: very well defined with gorgeous black cherry and blueberry fruit, the oak seamlessly integrated even though it will need 3-4 years to fully integrate. The palate is medium-bodied, smooth and velvety in texture with finely tuned acidity, nicely poised and gently fanning out with a fresh blackberry and bilberry finish, white pepper and clove lingering on the aftertaste. This is one of the most refined vintages of Series C that I have tasted.’ - Neal Martin, Wine Advocate, 94/100 (Apr 2017)"
Series C;2015;750ml;6;;"<p><em>&lsquo;Dense yet refined Cabernet-led Bordeaux blend with Merlot, Cabernet Franc and Malbec (19/15/9), 2015 deserves lengthy cellaring, 22 months in French oak (67% new) adding to structure, poise and persistent cedarwood perfume.&rsquo;</em> - Platter&rsquo;s SA Wine Guide 2019, 4.5* (94/100)</p>
<p><em>&lsquo;C stands for Cabernet Sauvignon, which never represents less than half of the blend. The brilliant 2015 has 19% Merlot, 15% Cabernet Franc and 9% Malbec, but it&rsquo;s Cabernet Sauvignon that provides the backbone. Rich, structured and serious, with lots of cigar box perfume, fine-boned tannins and considerable potential. 2022-30.&rsquo;</em> - Tim Atkin SA Special Report 2018, 96/100</p>"
Series C;2016;750ml;6;;‘Refined, ageworthy Cabernet-led Bordeaux blend with Merlot, Malbec, and Cabernet Franc (15/12/11), 2016 less dense, more elegant than previous. Black-fruit intensity and length, also dark chocolate and pencil shavings from 22 months in 77% new French oak.’ - Platter’s SA Wine Guide 2020, 4.5* (93/100)    ‘Series C seemed to cope a little better with the heat of the 2016 vintage than its stablemate Series M, partly because it's Cabernet Sauvignon based with 15% Merlot and only 12% of less stable Malbec. With flavours of liquorice, plum and blackberry, this is a layered, well-structured red with impressive concentration, fine oak and granular tannins. 2021-28.’ - Tim Atkin MW, SA Special Report 2019, 96/100     ‘A blend of Cabernet Sauvignon, Merlot and Malbec, the 2016 Series C has sweet oak on the nose with spiced blackberry and blueberry compote. The wine is expressive with generous dark fruits, bitter chocolate and Christmas spice. Full-bodied, it has a broad-shouldered, rich and juicy finish. This is very Napa-esque with its juiciness and high complexity. Well done! It is delicious.’ - Anthony Mueller, Wine Advocate, 94+/100 (Oct 2019)
Series C;2017;750ml;6;;‘Fully justifying owner Mike Ratcliffe's praise for the 2017 vintage, Series C is Cabernet Sauvignon based with 21% Merlot, 13% Cabernet Franc and 9% Malbec. Aged in 70% new wood, it's serious, toasty and plush with smooth tannins, bramble, plum, cassis and black fig flavours, fresh acidity and very fine, ageworthy tannins. 2022-29.’ - Tim Atkin MW, SA Special Report 2020, 96/100    ‘The 2017 Series C is a blend of 57% Cabernet Sauvignon, 21% Merlot, 13% Cabernet Franc and 9% Malbec matured in 70% French oak for 22 months. It has an opulent, beautifully controlled yet sensual bouquet featuring layers of precise black cherry, blackberry, cedar and violet scents. The palate is medium-bodied with ripe, juicy tannins. A voluminous and extravagant Series C whose smooth, velvety, almost creamy finish manages to avoid cloying. Made in a California more than Bordeaux vein, with a 20-year lifespan.’ - Neal Martin, Vinous, 94/100 (Apr 2021)   ‘The Series C 2017 displays an incredibly deep, dark broody garnet-purple colour with imposing extract and concentration. On the nose, this youthful release is a little closed to begin with but opens up in the glass offering alluring notes of incense, sweet vanilla pod, caramelised cashew nuts, black berry reduction, juniper berry and dusty, graphite tinged black chocolate exoticism. The palate is velvety and supple with a most generous, multi-layered mouthfeel of blueberry, black cherries, saline cassis and a charcoal tinged buttered brown toasty finish. Where the 2015 release showed a more masculine power, the 2017 is the personification of intensity with elegance, finesse and grace. A producer can wait decades to realise a vintage like this that possesses this degree of poise, intensity and weightless concentration combined with a decadently fruited complexity and composure. A spellbinding new release from Vilafonté. Indulge yourself by drinking a few bottles in its youth, however the 2017 is certainly worthy of over a decade or more of cellaring to realise its full potential.’ - Greg Sherwood MW, Fine Wine Safari, 96+/100 (Oct 2019)
Series C;2018;750ml;6;;‘Sold at more than twice the price of the Series M for reasons of demand alone, this is a suitably Californian style from Chris de  Vries and West Coast co-owner Zelma Long. Combining Cabernet Sauvignon with 44% Merlot, Malbec and Cabernet Franc, it's at the glossy, ripe, polished end of the spectrum, with 70% new coffee bean oak and graphite on the nose, fig, orange peel and blackcurrant fruit, layered, enveloping tannins and a balanced finish. 2023- 28.’ - Tim Atkin MW, SA Special Report 2021, 95/100     ‘Beginning impeccably balanced and generous on the nose, the 2018 Series C is wrapped in elegant baking spices from the almost 70% new French oak. A blend of 58% Cabernet Sauvignon, 17% Merlot, 14% Malbec and 11% Cabernet Franc, the wine bursts with finesse, precision, elegance and juicy dark fruit. Full-bodied, the Series C boasts juicy blackberry essence, notes of black raspberry cobbler, toasted pie crust and cedar cigar box in the mouth, with pure balance, fine-grained tannins, succulent acidity and a mineral tension across the mid-palate. It ends with a long, winding finish that evolves with persistence. This vintage marks another successful bottling. The only downside is that only 36 barrels were made. This is highly collectible stuff!’ - Anthony Mueller, Wine Advocate, 94/100 (Feb 2021)
Series C;2019;750ml;6;;‘The Series C 2019 is a blend of 56% Cabernet Sauvignon, 20% Merlot, 20% Malbec and 4% Cabernet Franc that was aged for 22 months in 74% new French oak barriques with the remainder aged in older, multiple passage barrels. A deep ruby-purple colour, this really is an impressively intense and striking blend that is seductive and alluring from the moment the cork is pulled. The aromatics offer glimpses of black cherries, earthy stewed black plums, black currants, fertile loam, tilled earth, freshly cut hedgerow together with hints of hoisin plum sauce and melted chocolate nuances. The palate is medium to full bodied but incredibly pure and polished with a confident, approachable accessibility, sleek rounded tannins and layer upon layer of seamless creamy black berry fruits, saline liquorice, sweet cedar spice and a subtle blueberry accent on the vibrant fresh finish. This wine does not try and hide its sweet seductive black fruits yet there is certainly a subtle subtext of earthy, stony minerality that runs in unison with all the vivid fruit concentration. A deliciously accomplished wine.’ - Greg Sherwood MW, Fine Wine Safari, 96+/100 (Oct 2021)
Series C;2020;750ml;6;;
Series C;2021;750ml;6;;
Series C;2022;750ml;6;;
Series C;2023;750ml;6;;
Series C;2024;750ml;6;;
Series C;2025;750ml;6;;
Series C;2026;750ml;6;;
Series C;2027;750ml;6;;
